iter	MultiClass
120	0.4287509161
121	0.4285782441
122	0.4284127289
123	0.4282433387
124	0.4280995085
125	0.4279360092
126	0.4277778771
127	0.4275812849
128	0.427386177
129	0.4273071211
130	0.4271524055
131	0.4269979454
132	0.4268488315
133	0.4267505777
134	0.4265756498
135	0.4265014388
136	0.4264148195
137	0.4262897737
138	0.4261059082
139	0.4259503977
140	0.4258752977
141	0.425744402
142	0.4256444514
143	0.4253945138
144	0.4252466046
145	0.4250986029
146	0.4250158881
147	0.4249146952
148	0.4248303191
149	0.424728977
150	0.4246009203
151	0.424485482
152	0.4243591875
153	0.4241989476
154	0.4240362489
155	0.4239393223
156	0.4238392239
157	0.4237318176
158	0.4235886588
159	0.4234730269
160	0.4233238618
161	0.4232221796
162	0.4230663466
163	0.4230182486
164	0.422888126
165	0.4227928204
166	0.422637462
167	0.4225467004
168	0.4224206034
169	0.4222607449
170	0.4221632856
171	0.4220369767
172	0.4218543759
173	0.421742023
174	0.4215717856
175	0.4214596664
176	0.421341903
177	0.4212277792
178	0.4211165642
179	0.4210236162
180	0.4208829507
181	0.4207704204
182	0.4206052788
183	0.4204535026
184	0.4203468119
185	0.4202237493
186	0.4201083428
187	0.4199871724
188	0.4198536087
189	0.4196982317
190	0.4196108895
191	0.4195196333
192	0.4194189742
193	0.4193513922
194	0.4192530443
195	0.419200278
196	0.4191096024
197	0.4188873952
198	0.4187454073
199	0.4186677785
200	0.4185488132
201	0.4184178069
202	0.4183390159
203	0.4181941983
204	0.418134696
205	0.4180142989
206	0.4178813392
207	0.4178112714
208	0.4176975434
209	0.4175768113
210	0.4174852117
211	0.4173900861
212	0.4172841288
213	0.4172008626
214	0.4171086865
215	0.4170263791
216	0.4169590563
217	0.4168730122
218	0.4167330008
219	0.4165725084
220	0.4164938825
221	0.4163753411
222	0.416270492
223	0.4161348682
224	0.4160774168
225	0.4159424835
226	0.415759941
227	0.4156794038
228	0.4155809799
229	0.4154908596
230	0.4153483626
231	0.4152636516
232	0.4151881848
233	0.4150569254
234	0.4149569622
235	0.4148576982
236	0.4147337158
237	0.414612848
238	0.4145295666
239	0.4144238451
240	0.4143216981
241	0.414248811
242	0.414137612
243	0.4140637591
244	0.4139985819
245	0.4138653671
246	0.4137679632
247	0.4136879233
248	0.4135259043
249	0.4134388728
250	0.4133570697
251	0.4132473597
252	0.4131923522
253	0.4130489708
254	0.4129249482
255	0.4128502586
256	0.4127643756
257	0.4126656473
258	0.4125585692
259	0.4124111383
260	0.4123364993
261	0.4122607964
262	0.4121305819
263	0.4119918795
264	0.4119060893
265	0.4117975719
266	0.4116729361
267	0.4115812384
268	0.4114797023
269	0.4113723198
270	0.411263625
271	0.4111531831
272	0.4110283397
273	0.4109492878
274	0.410860783
275	0.4107584967
276	0.4106430694
277	0.4105461011
278	0.4104759674
279	0.4103552838
280	0.4103023991
281	0.4102025467
282	0.4101469085
283	0.4100524714
284	0.4099463003
285	0.4098496282
286	0.409825975
287	0.40969838
288	0.4095889864
289	0.4094866284
290	0.409400321
291	0.409286971
292	0.4092018426
293	0.409110237
294	0.4090254287
295	0.4089344772
296	0.4088637693
297	0.4088031237
298	0.4087193017
299	0.4085918717
300	0.408507115
301	0.4084550584
302	0.4083063666
303	0.4082425136
304	0.4081934399
305	0.4081475412
306	0.4080762928
307	0.4079663718
308	0.4078932955
309	0.4078510037
310	0.4077671724
311	0.4076673106
312	0.4076096334
313	0.4075612968
314	0.4074937281
315	0.4074029092
316	0.4073561552
317	0.407283603
318	0.407231181
319	0.407146961
320	0.407066945
321	0.4069280051
322	0.4068409487
323	0.4067562216
324	0.4066668941
325	0.4065690108
326	0.4064906722
327	0.4063952129
328	0.406340957
329	0.4062935973
330	0.4062299804
331	0.4061627933
332	0.4061017834
333	0.4060226157
334	0.4059669269
335	0.4058293901
336	0.4057723353
337	0.4057192581
338	0.4056500113
339	0.4055989265
340	0.4055435382
341	0.4054983289
342	0.4054146788
343	0.4053378743
344	0.4052468803
345	0.4051695018
346	0.4050758978
347	0.4050468482
348	0.4049670165
349	0.4048759275
350	0.4047722484
351	0.4047271118
352	0.4046590502
353	0.404524018
354	0.4044898361
355	0.4044300707
356	0.404355583
357	0.4042769849
358	0.4041881092
359	0.4041189643
360	0.4039950716
361	0.4038933363
362	0.403829997
363	0.4037311048
364	0.4036703433
365	0.4035975884
366	0.4035368875
367	0.4034725898
368	0.4033876449
369	0.4033373542
370	0.4032434753
371	0.4031313278
372	0.4030445629
373	0.4029646157
374	0.4029202089
375	0.4028457152
376	0.4027957185
377	0.4027139167
378	0.4026244537
379	0.4025640842
380	0.4024871244
381	0.4024008602
382	0.4023383518
383	0.4022865134
384	0.4021670843
385	0.4021033439
386	0.4020143803
387	0.4019694267
388	0.4018957327
389	0.401783064
390	0.401710933
391	0.4016511525
392	0.4015794423
393	0.4014765852
394	0.4014264085
395	0.4013524936
396	0.4012829441
397	0.4011689932
398	0.4010758051
399	0.4010100016
400	0.4009755709
401	0.4008506153
402	0.4007976152
403	0.4007434101
404	0.4006969871
405	0.4005814859
406	0.400471422
407	0.4004289758
408	0.4003382586
409	0.4002872484
410	0.4002161442
411	0.4001631332
412	0.4000603584
413	0.3999984916
414	0.3999464142
415	0.399884174
416	0.3997870669
417	0.3997166342
418	0.3996356495
419	0.3995923425
420	0.3995447807
421	0.3994873458
422	0.399415941
423	0.3993245631
424	0.3992400834
425	0.3992058593
426	0.3991217738
427	0.3990587021
428	0.398946453
429	0.3989008918
430	0.3988175683
431	0.3987133148
432	0.398642676
433	0.3985744677
434	0.3985192416
435	0.3984547325
436	0.3983930179
437	0.3983231582
438	0.3982517812
439	0.3981884804
440	0.3981184728
441	0.3980421702
442	0.3978998504
443	0.3978131815
444	0.3977779716
445	0.3977246288
446	0.3976767042
447	0.3976222974
448	0.3975764122
449	0.3975147959
450	0.3974156495
451	0.3973812088
452	0.3973388322
453	0.3972890993
454	0.3971790087
455	0.3971049046
456	0.3970458489
457	0.3970223011
458	0.3969382278
459	0.3968709129
460	0.3968035486
461	0.3967143757
462	0.3966304588
463	0.3965861465
464	0.3965260114
465	0.3964857732
466	0.396429296
467	0.3963878914
468	0.3963218955
469	0.3962628018
470	0.3962143026
471	0.3961482781
472	0.3961148476
473	0.3960361285
474	0.3959698013
475	0.3959152459
476	0.3958392682
477	0.3957196311
478	0.3956908173
479	0.3956594034
480	0.3955484438
481	0.3954749793
482	0.3953906034
483	0.3953278742
484	0.3952346434
485	0.3951187313
486	0.3950681582
487	0.3949785516
488	0.3949379558
489	0.3948900334
490	0.3948214653
491	0.3947505528
492	0.3947008162
493	0.3946355055
494	0.3945917786
495	0.3945235874
496	0.3944342278
497	0.3943966219
498	0.3943392584
499	0.394263082
500	0.3942053428
501	0.3941205781
502	0.3940384337
503	0.3939902741
504	0.3939141317
505	0.3938827758
506	0.3938196378
507	0.393739668
508	0.3936677787
509	0.3936042893
510	0.3935345678
511	0.3934787979
512	0.3934108768
513	0.3933637107
514	0.3933106212
515	0.3932496019
516	0.3932010543
517	0.3931282227
518	0.3930869289
519	0.3930020088
520	0.3929203949
521	0.3928060724
522	0.3927462019
523	0.3926989286
524	0.3926459175
525	0.3925722647
526	0.3925218717
527	0.3924573529
528	0.3923853353
529	0.3923123864
530	0.3922450197
531	0.3921953096
532	0.3920766386
533	0.3919892589
534	0.3918913197
535	0.3918403553
536	0.3917688089
537	0.3917140083
538	0.3916498766
539	0.3915683698
540	0.3915276861
541	0.3914338345
542	0.3913759167
543	0.3913357858
544	0.3912871524
545	0.3912417523
546	0.3911773945
547	0.391131241
548	0.3910789154
549	0.3909792792
550	0.3908856686
551	0.3908236885
552	0.3907661608
553	0.3907004858
554	0.3906647784
555	0.3906098009
556	0.3905425875
557	0.3904933812
558	0.3904282646
559	0.3903688385
560	0.3902924052
561	0.3902060283
562	0.3901172036
563	0.3900808107
564	0.3900336494
565	0.3899921376
566	0.3899376473
567	0.3898803397
568	0.3898435929
569	0.3897718172
570	0.389726336
571	0.3896405005
572	0.3895811043
573	0.3895258121
574	0.3894830214
575	0.3894181958
576	0.389334782
577	0.3892928508
578	0.3892196759
579	0.38918154
580	0.3891130154
581	0.3890705896
582	0.3890296796
583	0.3889427486
584	0.3888900502
585	0.3888293896
586	0.3887958731
587	0.3887542188
588	0.3887166728
589	0.3886849851
590	0.3886420281
591	0.3885876668
592	0.3885393793
593	0.3884915923
594	0.3884522096
595	0.3884138916
596	0.3883626443
597	0.3883261413
598	0.3882450622
599	0.3882176912
600	0.3881469118
601	0.3880640001
602	0.3879767299
603	0.3879070682
604	0.3878221198
605	0.387769676
606	0.3877328519
607	0.3876553459
608	0.3875906915
609	0.3875620351
610	0.387503021
611	0.3874507263
612	0.3874087892
613	0.3873817432
614	0.3873086251
615	0.3872829802
616	0.3872187887
617	0.38717395
618	0.3871344052
619	0.387085895
620	0.3869969868
621	0.3869455081
622	0.3868619661
623	0.3868115698
624	0.3867200165
625	0.3867004513
626	0.3866330715
627	0.3865700591
628	0.3865446959
629	0.3864462321
630	0.3863977528
631	0.3863723125
632	0.3863297972
633	0.386280534
634	0.3862026687
635	0.3861623937
636	0.3861148217
637	0.3860594612
638	0.3860253435
639	0.3859551866
640	0.3858877958
641	0.3858276296
642	0.3857724491
643	0.3857349251
644	0.3856994332
645	0.3856516159
646	0.3855866372
647	0.3855295632
648	0.385469537
649	0.3853728263
650	0.3853101519
651	0.3852720931
652	0.3852293435
653	0.3851757599
654	0.3850902863
655	0.3850471583
656	0.3849596091
657	0.3848907451
658	0.3848308509
659	0.3847789798
660	0.3847300154
661	0.384670951
662	0.3846276324
663	0.3845899724
664	0.3845133002
665	0.3844961794
666	0.3844733136
667	0.3844326124
668	0.3843570641
669	0.3843286858
670	0.3842847306
671	0.3842325168
672	0.3841864179
673	0.3841412155
674	0.3840786431
675	0.3840476963
676	0.3840071936
677	0.3839651209
678	0.3839443988
679	0.3839107276
680	0.3838357386
681	0.383786768
682	0.3837167749
683	0.3836835416
684	0.3836687196
685	0.3836318018
686	0.383553877
687	0.3835038176
688	0.3834458527
689	0.3834111032
690	0.3833565953
691	0.3832624996
692	0.3832033422
693	0.3831383315
694	0.3830895758
695	0.383048204
696	0.3830380677
697	0.3829867426
698	0.382902797
699	0.3828564078
700	0.3827933065
701	0.3827072993
702	0.3826696234
703	0.3826051789
704	0.3824954622
705	0.3824231192
706	0.3823688548
707	0.3823086217
708	0.3822523782
709	0.3822014061
710	0.3821577218
711	0.3821142829
712	0.3820465961
713	0.3819718686
714	0.3819091282
715	0.3818580606
716	0.3817932389
717	0.3817353159
718	0.3816870769
719	0.38163169
720	0.3815405389
721	0.3814972151
722	0.3814553261
723	0.381405474
724	0.3813563517
725	0.3813210407
726	0.381260754
727	0.3812300532
728	0.3811874708
729	0.3811528728
730	0.3811084677
731	0.3810620723
732	0.3810106134
733	0.3809431008
734	0.3808993416
735	0.3808364733
736	0.380802355
737	0.3807399533
738	0.3806867364
739	0.3806293576
740	0.3805026263
741	0.3804107294
742	0.380367944
743	0.3803238257
744	0.3802719889
745	0.3802117177
746	0.3801714005
747	0.3801210803
748	0.3800592357
749	0.3799940969
750	0.3799379766
751	0.3798989851
752	0.3798435465
753	0.3797995134
754	0.3797487414
755	0.3797260184
756	0.3796610608
757	0.3796094794
758	0.3795466223
759	0.3794591936
760	0.3794022065
761	0.3793628118
762	0.3793075515
763	0.3792492218
764	0.3792190523
765	0.379184369
766	0.3791451712
767	0.3790939723
768	0.3790338641
769	0.3789677546
770	0.3789214969
771	0.3788365977
772	0.3787643971
773	0.3787001927
774	0.3786358582
775	0.378577261
776	0.3785251034
777	0.37842354
778	0.3783828121
779	0.3783300544
780	0.3783130441
781	0.3782876267
782	0.378184936
783	0.3781508153
784	0.378104641
785	0.3780747395
786	0.378000949
787	0.3779633569
788	0.377923808
789	0.377865328
790	0.377823665
791	0.3777825779
792	0.3777485979
793	0.3776492535
794	0.3776331576
795	0.3775894834
796	0.3775227168
797	0.3774981965
798	0.3774598396
799	0.3774332252
800	0.3773501213
801	0.3773098512
802	0.3772785796
803	0.3772384924
804	0.377202611
805	0.3771345797
806	0.3770902451
807	0.3770430375
808	0.3770153235
809	0.3769754409
810	0.376946742
811	0.3768703539
812	0.3768385803
813	0.3767887159
814	0.3767348396
815	0.376689624
816	0.3766214683
817	0.3765539456
818	0.3765021937
819	0.3764605035
820	0.3764351286
821	0.3763938708
822	0.3763669708
823	0.3763244612
824	0.3762716354
825	0.3762570005
826	0.3762229668
827	0.376166938
828	0.3761415696
829	0.376104137
830	0.3760428348
831	0.3759865372
832	0.3759422996
833	0.3758937498
834	0.3758227397
835	0.375790986
836	0.3757589021
837	0.3757192162
838	0.3756802086
839	0.3756353247
840	0.3755864095
841	0.3755450836
842	0.3754798233
843	0.3753950566
844	0.3753620217
845	0.3753148857
846	0.3752796255
847	0.3752165076
848	0.3751657516
849	0.3751303812
850	0.3750616961
851	0.3750089486
852	0.3749470899
853	0.3748819353
854	0.3748048876
855	0.3747608975
856	0.3746948946
857	0.374645703
858	0.3745968037
859	0.3745644398
860	0.3745240295
861	0.3744915239
862	0.3744425254
863	0.3743964935
864	0.3743438136
865	0.3742676851
866	0.3742275199
867	0.374162718
868	0.3741292261
869	0.3740808346
870	0.3740567739
871	0.374001552
872	0.3739521084
873	0.373918634
874	0.373890779
875	0.3738036443
876	0.37373635
877	0.3737031369
878	0.3736040687
879	0.373558572
880	0.3735127295
881	0.3734530746
882	0.3733742142
883	0.3733117539
884	0.3732525483
885	0.3732014647
886	0.3731562603
887	0.3730973767
888	0.3730541249
889	0.3730147292
890	0.3729691107
891	0.3729247143
892	0.3728879931
893	0.3728237647
894	0.3727936654
895	0.372727567
896	0.3726872352
897	0.3726464836
898	0.3725988688
899	0.372547728
900	0.3725116819
901	0.3724523246
902	0.3723985201
903	0.372349768
904	0.3722963512
905	0.3722519362
906	0.3722154842
907	0.3721725822
908	0.3721157476
909	0.3720748493
910	0.37200124
911	0.371965248
912	0.3719364683
913	0.371901166
914	0.3718779997
915	0.3718226611
916	0.3717940178
917	0.3717706703
918	0.3717344826
919	0.3716919245
920	0.3716041444
921	0.371545987
922	0.3714964893
923	0.3714456306
924	0.3714033593
925	0.3713816132
926	0.3713256852
927	0.3712745439
928	0.3712309962
929	0.3711876636
930	0.3711487794
931	0.3711290472
932	0.3710716655
933	0.3710410185
934	0.3710182168
935	0.370991002
936	0.3709669203
937	0.3709206434
938	0.370884316
939	0.3708315109
940	0.3708032068
941	0.3707681044
942	0.370740813
943	0.3706948458
944	0.370648129
945	0.3706138044
946	0.3705800687
947	0.3705237099
948	0.3704616246
949	0.370425065
950	0.3703823772
951	0.3703110854
952	0.3702579259
953	0.3702287723
954	0.3702018232
955	0.3701672887
956	0.3701087214
957	0.3700647912
958	0.3700330131
959	0.3699849388
960	0.3699423116
961	0.3699123607
962	0.3698894212
963	0.3698536561
964	0.3697965565
965	0.3697679396
966	0.3697089709
967	0.3696632712
968	0.3696365708
969	0.3695887436
970	0.3695502312
971	0.3695124787
972	0.3694531899
973	0.3694141322
974	0.3693358351
975	0.3693088045
976	0.3692761333
977	0.3692203217
978	0.3691966513
979	0.3691262689
980	0.3690624548
981	0.3690050459
982	0.3689558159
983	0.3689305712
984	0.3688814705
985	0.3688087951
986	0.3687551276
987	0.3686732641
988	0.3686371438
989	0.3686071633
990	0.3685805552
991	0.3685204209
992	0.3684746438
993	0.3684115141
994	0.3683889449
995	0.368346193
996	0.3683174076
997	0.3682872649
998	0.3682650031
999	0.3682418583
