iter	Passed	Remaining
429	1730	2294
430	1734	2289
431	1737	2284
432	1741	2280
433	1745	2276
434	1749	2272
435	1753	2268
436	1757	2263
437	1760	2259
438	1764	2254
439	1767	2249
440	1771	2245
441	1775	2241
442	1779	2237
443	1783	2232
444	1786	2228
445	1790	2224
446	1794	2219
447	1798	2216
448	1802	2211
449	1805	2207
450	1809	2202
451	1813	2198
452	1817	2194
453	1821	2190
454	1825	2186
455	1828	2181
456	1832	2177
457	1836	2173
458	1840	2169
459	1845	2166
460	1849	2162
461	1853	2158
462	1857	2153
463	1861	2150
464	1865	2146
465	1869	2142
466	1873	2138
467	1876	2133
468	1880	2128
469	1883	2124
470	1887	2119
471	1891	2116
472	1895	2111
473	1899	2107
474	1902	2103
475	1907	2099
476	1910	2095
477	1914	2091
478	1918	2086
479	1922	2082
480	1926	2078
481	1930	2074
482	1934	2070
483	1938	2066
484	1941	2062
485	1945	2057
486	1949	2053
487	1953	2049
488	1956	2044
489	1960	2040
490	1964	2036
491	1968	2032
492	1971	2027
493	1975	2023
494	1979	2019
495	1983	2015
496	1987	2011
497	1990	2006
498	1994	2002
499	1998	1998
500	2001	1993
501	2005	1989
502	2009	1985
503	2013	1981
504	2017	1977
505	2022	1974
506	2025	1969
507	2029	1965
508	2033	1961
509	2037	1958
510	2041	1953
511	2045	1949
512	2049	1945
513	2052	1941
514	2056	1936
515	2059	1932
516	2063	1927
517	2067	1923
518	2070	1918
519	2074	1914
520	2078	1911
521	2082	1907
522	2087	1903
523	2091	1899
524	2096	1896
525	2100	1893
526	2104	1888
527	2108	1884
528	2112	1880
529	2116	1876
530	2120	1872
531	2124	1869
532	2129	1865
533	2132	1861
534	2137	1857
535	2142	1854
536	2146	1850
537	2150	1846
538	2154	1842
539	2158	1838
540	2162	1834
541	2165	1829
542	2169	1826
543	2173	1821
544	2176	1817
545	2180	1813
546	2184	1809
547	2188	1805
548	2191	1800
549	2195	1796
550	2199	1792
551	2203	1788
552	2206	1783
553	2210	1779
554	2214	1775
555	2217	1771
556	2221	1766
557	2224	1762
558	2228	1758
559	2232	1753
560	2236	1750
561	2239	1745
562	2243	1741
563	2247	1737
564	2250	1732
565	2254	1728
566	2258	1724
567	2262	1720
568	2265	1716
569	2269	1712
570	2272	1707
571	2276	1703
572	2280	1699
573	2283	1695
574	2288	1691
575	2291	1687
576	2295	1682
577	2299	1678
578	2303	1674
579	2306	1670
580	2310	1666
581	2314	1662
582	2317	1657
583	2321	1653
584	2325	1649
585	2329	1645
586	2332	1641
587	2337	1637
588	2340	1633
589	2344	1629
590	2347	1624
591	2351	1620
592	2354	1616
593	2358	1611
594	2361	1607
595	2366	1603
596	2370	1599
597	2374	1596
598	2379	1593
599	2383	1589
600	2387	1585
601	2391	1581
602	2395	1577
603	2399	1573
604	2404	1570
605	2409	1566
606	2413	1562
607	2417	1558
608	2422	1555
609	2426	1551
610	2430	1547
611	2434	1543
612	2438	1539
613	2443	1535
614	2447	1531
615	2451	1528
616	2455	1524
617	2459	1520
618	2463	1516
619	2467	1512
620	2472	1508
621	2476	1504
622	2479	1500
623	2483	1496
624	2486	1492
625	2491	1488
626	2494	1484
627	2498	1480
628	2502	1475
629	2506	1472
630	2510	1467
631	2513	1463
632	2517	1459
633	2521	1455
634	2525	1451
635	2528	1447
636	2532	1442
637	2535	1438
638	2539	1434
639	2543	1430
640	2547	1426
641	2551	1422
642	2555	1418
643	2559	1414
644	2563	1410
645	2567	1406
646	2571	1402
647	2574	1398
648	2578	1394
649	2582	1390
650	2585	1386
651	2589	1382
652	2593	1378
653	2597	1374
654	2601	1370
655	2605	1366
656	2609	1362
657	2613	1358
658	2616	1354
659	2620	1350
660	2624	1346
661	2628	1342
662	2632	1338
663	2636	1334
664	2640	1330
665	2644	1326
